team_api_id,team_fifa_api_id,team_long_name,team_short_name
9791,100634.0,Heracles Almelo,HER
10235,246.0,Feyenoord,FEY
8614,100646.0,Sparta Rotterdam,SPA
10217,650.0,ADO Den Haag,HAA
6601,,FC Volendam,VOL
10228,1913.0,SC Heerenveen,HEE
10229,1906.0,AZ,ALK
9761,1904.0,NAC Breda,NAC
10219,1905.0,RKC Waalwijk,RKC
9839,100651.0,VVV-Venlo,VEN
10218,1971.0,Excelsior,EXC
6413,1914.0,PEC Zwolle,ZWO
7788,647.0,SC Cambuur,CAM
6433,100632.0,Go Ahead Eagles,GAE
6631,100626.0,FC Dordrecht,DOR
10265,1873.0,Wisła Kraków,WIS
8031,111429.0,Polonia Bytom,POB
8020,111429.0,Polonia Bytom,GOR
1601,874.0,Ruch Chorzów,CHO
8673,1871.0,Legia Warszawa,LEG
2183,1570.0,P. Warszawa,PWA
8025,111092.0,Śląsk Wrocław,SLA
8030,111091.0,Lechia Gdańsk,LGD
8244,301.0,Widzew Łódź,LOD
8242,1564.0,Odra Wodzisław,ODR
2182,873.0,Lech Poznań,POZ
8569,110744.0,GKS Bełchatów,BEL
8322,111082.0,Arka Gdynia,ARK
1957,110745.0,Jagiellonia Białystok,BIA
8028,111086.0,Piast Gliwice,PIG
2186,110747.0,Cracovia,CKR
8245,111083.0,Korona Kielce,KKI
8021,110749.0,Zagłębie Lubin,ZAG
8024,301.0,Widzew Łódź,WID
8033,111087.0,Podbeskidzie Bielsko-Biała,POD
8023,110746.0,Pogoń Szczecin,POG
8027,112512.0,Zawisza Bydgoszcz,ZAW
8019,110565.0,Górnik Łęczna,LEC
177361,,Termalica Bruk-Bet Nieciecza,TBN
9773,236.0,FC Porto,POR
9807,1889.0,CF Os Belenenses,BEL
9768,237.0,Sporting CP,SCP
7992,,Trofense,TRO
7844,1887.0,Vitória Guimarães,GUI
10238,665.0,Vitória Setúbal,SET
6403,1892.0,FC Paços de Ferreira,FER
10264,1896.0,SC Braga,BRA
10213,,Amadora,AMA
10215,1901.0,Académica de Coimbra,ACA
7841,744.0,Rio Ave FC,RA
9772,234.0,SL Benfica,BEN
6421,10018.0,Leixões SC,LEI
10214,1891.0,CD Nacional,NAC
9809,100737.0,Naval 1° de Maio,NAV
10212,1893.0,CS Marítimo,MAR
9771,1895.0,"União de Leiria, SAD",ULE
2033,111540.0,S.C. Olhanense,OLH
9765,,Portimonense,POR
10211,1897.0,SC Beira Mar,B-M
4064,,Feirense,FEI
9764,1888.0,Gil Vicente FC,GV
8348,1900.0,Moreirense FC,MOR
7842,10020.0,Estoril Praia,EST
158085,112513.0,FC Arouca,ARO
6547,100741.0,FC Penafiel,PEN
8613,1898.0,Boavista FC,BOA
6367,,Uniao da Madeira,MAD
188163,,Tondela,TON
8596,79.0,Falkirk,FAL
8548,86.0,Rangers,RAN
9860,80.0,Heart of Midlothian,HEA
9927,83.0,Motherwell,MOT
8597,82.0,Kilmarnock,KIL
10251,81.0,Hibernian,HIB
8485,77.0,Aberdeen,ABE
8066,620.0,Inverness Caledonian Thistle,INV
9925,78.0,Celtic,CEL
9800,100805.0,St. Mirren,MIR
8429,184.0,Hamilton Academical FC,HAM
9938,181.0,Dundee United,DUU
8467,100804.0,St. Johnstone FC,JOH
8457,182.0,Dunfermline Athletic,DUN
8284,180.0,Dundee FC,DUF
8649,631.0,Ross County FC,ROS
8426,1754.0,Partick Thistle F.C.,PAR
10267,461.0,Valencia CF,VAL
8661,453.0,RCD Mallorca,MAL
8371,479.0,CA Osasuna,OSA
10205,483.0,Villarreal CF,VIL
9783,242.0,RC Deportivo de La Coruña,COR
8633,243.0,Real Madrid CF,REA
8388,477.0,CD Numancia,NUM
8634,241.0,FC Barcelona,BAR
8696,456.0,Racing Santander,SAN
8302,481.0,Sevilla FC,SEV
9869,459.0,Real Sporting de Gijón,SPG
8305,1860.0,Getafe CF,GET
8603,449.0,Real Betis Balompié,BET
8479,571.0,RC Recreativo,HUE
8558,452.0,RCD Espanyol,ESP
10281,462.0,Real Valladolid,VAL
8315,448.0,Athletic Club de Bilbao,BIL
9865,1861.0,UD Almería,ALM
9906,240.0,Atlético Madrid,AMA
9864,573.0,Málaga CF,MAL
9868,1742.0,Xerez Club Deportivo,XER
8394,244.0,Real Zaragoza,ZAR
9867,260.0,CD Tenerife,TEN
10278,100879.0,Hércules Club de Fútbol,HER
8581,1853.0,Levante UD,LEV
8560,457.0,Real Sociedad,SOC
7878,110832.0,Granada CF,GRA
8370,480.0,Rayo Vallecano,RAY
9910,450.0,RC Celta de Vigo,CEL
10268,468.0,Elche CF,ELC
8372,467.0,SD Eibar,EIB
7869,1867.0,Córdoba CF,COR
8306,472.0,UD Las Palmas,LAS
9956,322.0,Grasshopper Club Zürich,GRA
6493,1714.0,AC Bellinzona,BEL
10192,900.0,BSC Young Boys,YB
9931,896.0,FC Basel,BAS
9930,434.0,FC Aarau,AAR
10179,110770.0,FC Sion,SIO
10199,897.0,FC Luzern,LUZ
9824,286.0,FC Vaduz,VAD
7955,435.0,Neuchâtel Xamax,XAM
10243,894.0,FC Zürich,ZUR
10190,898.0,FC St. Gallen,GAL
10191,1715.0,FC Thun,THU
9777,324.0,Servette FC,SER
7730,1862.0,FC Lausanne-Sports,LAU
7896,,Lugano,LUG
