id_partido,fecha_partido,equipo_local,equipo_visitante,goles_local,goles_visitante
492706,2008-12-06 00:00:00,9993,9996,3,0
492709,2008-12-14 00:00:00,8342,9985,1,4
492713,2008-12-13 00:00:00,9987,9986,1,0
492717,2008-12-13 00:00:00,10000,9996,2,1
492720,2008-12-13 00:00:00,9991,8571,1,1
492722,2008-12-13 00:00:00,7947,9994,1,1
492724,2008-12-12 00:00:00,8203,9993,2,1
492728,2008-12-14 00:00:00,9999,8635,0,3
492734,2008-12-13 00:00:00,4049,9998,2,1
492735,2008-12-13 00:00:00,10001,9984,1,2
492742,2008-12-19 00:00:00,8635,9987,2,0
492745,2008-12-21 00:00:00,9985,9991,2,1
492746,2008-12-20 00:00:00,9998,10000,2,2
492749,2008-12-20 00:00:00,9986,7947,2,0
492753,2008-12-20 00:00:00,9984,9999,4,3
492757,2008-12-20 00:00:00,9994,8203,2,2
492758,2008-12-20 00:00:00,9996,8342,5,1
492760,2008-12-21 00:00:00,8571,10001,0,0
492763,2008-12-20 00:00:00,9993,4049,2,0
492769,2009-01-18 00:00:00,9993,9987,4,1
492772,2009-01-17 00:00:00,9994,10000,2,1
492775,2009-01-16 00:00:00,8635,9984,1,2
492779,2009-01-17 00:00:00,9998,9991,1,2
492781,2009-01-17 00:00:00,9985,7947,3,2
492782,2009-01-17 00:00:00,8342,8203,3,0
492785,2009-01-17 00:00:00,8571,9999,2,1
492789,2009-01-17 00:00:00,9996,4049,1,1
492792,2009-01-18 00:00:00,9986,10001,1,2
492798,2009-01-25 00:00:00,10000,8342,3,1
492801,2009-02-18 00:00:00,9991,8635,1,2
492804,2009-01-25 00:00:00,10001,9985,0,1
492805,2009-01-24 00:00:00,9987,9998,2,0
492807,2009-01-24 00:00:00,9999,9986,3,1
492810,2009-01-24 00:00:00,4049,9994,2,1
492814,2009-01-24 00:00:00,8203,9996,2,2
492817,2009-01-24 00:00:00,9984,8571,0,1
492819,2009-01-24 00:00:00,7947,9993,0,1
492482,2008-10-29 00:00:00,8342,10000,2,0
492483,2008-08-23 00:00:00,8635,9991,2,2
492484,2008-08-23 00:00:00,9985,10001,3,0
492485,2008-08-24 00:00:00,9998,9987,3,1
492486,2008-08-23 00:00:00,9986,9999,1,0
492487,2008-08-23 00:00:00,9994,4049,4,1
492488,2008-08-23 00:00:00,9996,8203,3,1
492489,2008-08-23 00:00:00,8571,9984,2,1
492490,2008-08-23 00:00:00,9993,7947,1,1
492822,2009-01-31 00:00:00,8571,8635,1,3
492844,2009-02-01 00:00:00,9994,9987,1,2
492845,2009-01-31 00:00:00,9998,9984,1,1
492847,2009-02-01 00:00:00,9986,9991,2,5
492849,2009-01-31 00:00:00,9996,7947,0,2
492851,2009-01-31 00:00:00,10000,8203,1,1
492853,2009-01-31 00:00:00,9985,9999,3,0
492856,2009-01-31 00:00:00,8342,4049,3,1
492858,2009-01-31 00:00:00,9993,10001,2,1
492989,2009-02-07 00:00:00,7947,8342,0,2
492990,2009-02-06 00:00:00,8571,9985,0,2
492991,2009-02-07 00:00:00,8635,9998,3,2
492992,2009-02-07 00:00:00,9987,10000,1,2
492993,2009-02-08 00:00:00,9984,9986,2,2
492994,2009-02-08 00:00:00,10001,9994,1,0
492995,2009-02-07 00:00:00,4049,8203,1,5
492996,2009-02-07 00:00:00,9991,9996,2,0
492997,2009-02-07 00:00:00,9999,9993,2,2
492998,2009-02-15 00:00:00,9986,8635,0,1
492999,2009-02-15 00:00:00,8342,9987,0,2
493000,2009-02-14 00:00:00,9993,9984,1,1
493001,2009-02-14 00:00:00,8203,9991,3,3
493002,2009-02-14 00:00:00,10000,7947,1,0
493003,2009-02-14 00:00:00,9994,9999,2,1
493004,2009-02-14 00:00:00,9998,8571,1,1
493005,2009-02-14 00:00:00,9985,4049,4,0
493006,2009-02-14 00:00:00,9996,10001,0,0
493007,2009-02-22 00:00:00,10001,8342,1,1
493008,2009-02-22 00:00:00,8635,9985,4,2
493009,2009-02-21 00:00:00,9999,9998,3,2
493010,2009-02-21 00:00:00,4049,10000,0,6
493011,2009-02-21 00:00:00,8571,9986,1,1
493012,2009-02-21 00:00:00,9984,9994,0,0
493013,2009-02-21 00:00:00,7947,8203,1,2
493014,2009-02-20 00:00:00,9987,9996,1,1
493015,2009-02-21 00:00:00,9991,9993,1,3
493016,2009-02-28 00:00:00,9996,8635,1,1
493017,2009-02-27 00:00:00,8203,9987,2,1
493018,2009-02-28 00:00:00,9986,9998,3,0
493019,2009-03-01 00:00:00,9985,9984,4,0
493020,2009-03-01 00:00:00,9994,9991,0,1
493021,2009-02-28 00:00:00,8342,9999,2,1
493022,2009-02-28 00:00:00,9993,8571,3,0
493023,2009-02-28 00:00:00,7947,4049,4,0
493024,2009-02-28 00:00:00,10000,10001,1,1
493025,2009-03-08 00:00:00,9984,8342,1,3
493026,2009-03-06 00:00:00,9998,9985,0,1
493027,2009-03-07 00:00:00,8635,10000,2,0
493028,2009-03-07 00:00:00,8571,9994,2,3
493029,2009-03-07 00:00:00,9987,7947,4,3
493030,2009-03-08 00:00:00,10001,8203,0,1
493031,2009-03-07 00:00:00,9999,9996,2,0
493032,2009-03-07 00:00:00,9991,4049,2,0
493033,2009-03-07 00:00:00,9986,9993,0,0
493034,2009-03-13 00:00:00,8203,8635,2,1
493035,2009-03-15 00:00:00,9985,9987,2,0
493036,2009-03-14 00:00:00,9993,9998,2,0
493037,2009-03-14 00:00:00,9994,9986,0,0
493038,2009-03-14 00:00:00,7947,9984,1,0
493039,2009-03-15 00:00:00,8342,9991,1,4
493040,2009-03-14 00:00:00,10000,9999,0,0
493041,2009-03-14 00:00:00,9996,8571,1,0
493042,2009-03-14 00:00:00,4049,10001,1,2
493043,2009-03-20 00:00:00,8571,8342,2,3
493044,2009-03-22 00:00:00,9986,9985,1,0
493045,2009-03-22 00:00:00,9991,10000,1,0
493046,2009-03-21 00:00:00,9998,9994,0,2
493047,2009-03-21 00:00:00,10001,7947,3,1
493048,2009-03-21 00:00:00,9999,8203,1,0
493049,2009-03-21 00:00:00,9984,9996,0,1
493050,2009-03-21 00:00:00,9987,4049,3,0
493051,2009-03-21 00:00:00,8635,9993,2,0
493052,2009-04-05 00:00:00,9994,8635,0,0
493053,2009-04-04 00:00:00,9996,9998,3,2
493054,2009-04-04 00:00:00,8342,9986,2,1
493055,2009-04-04 00:00:00,10000,9984,3,1
493056,2009-04-04 00:00:00,7947,9991,1,1
493057,2009-04-04 00:00:00,4049,9999,0,1
493058,2009-04-04 00:00:00,8203,8571,1,1
493059,2009-04-04 00:00:00,9987,10001,1,4
493060,2009-04-05 00:00:00,9985,9993,3,1
493061,2009-04-12 00:00:00,8635,8342,1,0
493062,2009-04-10 00:00:00,9999,9987,1,0
493063,2009-04-11 00:00:00,9993,10000,1,2
493064,2009-04-11 00:00:00,9985,9994,1,0
493065,2009-04-11 00:00:00,8571,7947,1,2
493066,2009-04-11 00:00:00,9998,8203,0,1
493067,2009-04-11 00:00:00,9986,9996,1,0
493068,2009-04-11 00:00:00,9984,4049,4,1
493069,2009-04-12 00:00:00,9991,10001,2,0
492491,2008-08-30 00:00:00,8635,8571,4,0
492492,2008-08-30 00:00:00,9987,9994,1,0
492493,2008-08-30 00:00:00,9984,9998,2,1
492494,2008-08-31 00:00:00,9991,9986,2,0
492495,2008-08-30 00:00:00,7947,9996,1,2
492496,2008-08-30 00:00:00,8203,10000,0,2
492497,2008-08-31 00:00:00,9999,9985,1,1
492498,2008-08-29 00:00:00,4049,8342,1,4
492499,2008-08-30 00:00:00,10001,9993,1,0
493070,2009-04-19 00:00:00,10001,8635,0,1
493071,2009-04-18 00:00:00,9996,9985,0,3
493072,2009-04-18 00:00:00,8342,9998,3,2
493073,2009-04-18 00:00:00,4049,9986,3,1
493074,2009-04-18 00:00:00,8203,9984,0,1
493075,2009-04-17 00:00:00,9987,9991,2,2
493076,2009-04-19 00:00:00,7947,9999,3,1
493077,2009-04-18 00:00:00,10000,8571,5,1
493078,2009-04-18 00:00:00,9994,9993,1,0
493079,2009-04-24 00:00:00,9993,8342,2,0
493080,2009-04-26 00:00:00,9984,9987,1,2
493081,2009-04-25 00:00:00,9986,10000,1,0
493082,2009-04-26 00:00:00,9999,9991,1,3
493083,2009-04-25 00:00:00,8635,7947,4,0
493084,2009-04-25 00:00:00,9985,8203,4,1
493085,2009-04-25 00:00:00,9994,9996,3,0
493086,2009-04-25 00:00:00,8571,4049,2,2
493087,2009-04-25 00:00:00,9998,10001,0,2
493088,2009-05-03 00:00:00,4049,8635,1,1
493089,2009-05-02 00:00:00,10000,9985,0,0
493090,2009-05-02 00:00:00,7947,9998,0,0
493091,2009-05-02 00:00:00,8203,9986,2,1
493092,2009-05-02 00:00:00,9991,9984,2,1
493093,2009-05-01 00:00:00,8342,9994,2,3
493094,2009-05-02 00:00:00,10001,9999,1,0
493095,2009-05-03 00:00:00,9987,8571,0,1
493096,2009-05-02 00:00:00,9996,9993,3,1
493097,2009-05-09 00:00:00,9985,8342,2,0
493098,2009-05-09 00:00:00,9986,9987,3,0
493099,2009-05-09 00:00:00,9996,10000,0,2
493100,2009-05-09 00:00:00,8571,9991,0,2
493101,2009-05-09 00:00:00,9994,7947,0,2
493102,2009-05-08 00:00:00,9993,8203,3,1
493103,2009-05-09 00:00:00,8635,9999,3,1
493104,2009-05-09 00:00:00,9998,4049,1,1
493105,2009-05-09 00:00:00,9984,10001,2,1
493106,2009-05-16 00:00:00,9987,8635,0,2
493107,2009-05-16 00:00:00,9991,9985,0,1
493108,2009-05-16 00:00:00,10000,9998,3,0
493109,2009-05-16 00:00:00,7947,9986,1,2
493110,2009-05-16 00:00:00,9999,9984,1,2
493111,2009-05-15 00:00:00,8203,9994,3,0
493112,2009-05-16 00:00:00,8342,9996,4,1
493113,2009-05-16 00:00:00,10001,8571,1,3
493114,2009-05-16 00:00:00,4049,9993,1,0
492500,2008-09-13 00:00:00,8342,7947,1,1
492501,2008-09-13 00:00:00,9985,8571,2,0
492502,2008-09-13 00:00:00,9998,8635,1,2
492503,2008-09-14 00:00:00,10000,9987,1,3
492504,2008-09-14 00:00:00,9986,9984,3,2
492506,2008-09-13 00:00:00,9994,10001,1,1
492508,2008-09-13 00:00:00,8203,4049,0,0
492509,2008-09-13 00:00:00,9996,9991,4,2
492511,2008-09-13 00:00:00,9993,9999,3,0
492517,2008-09-19 00:00:00,8635,9986,2,0
492518,2008-09-21 00:00:00,9987,8342,0,1
492519,2008-09-20 00:00:00,9984,9993,1,0
492520,2008-09-20 00:00:00,9991,8203,1,2
492521,2008-09-20 00:00:00,7947,10000,2,0
492522,2008-09-20 00:00:00,9999,9994,0,1
492523,2008-09-20 00:00:00,8571,9998,1,0
492524,2008-09-21 00:00:00,4049,9985,0,1
492525,2008-09-20 00:00:00,10001,9996,0,0
492526,2008-09-27 00:00:00,8342,10001,2,0
492527,2008-09-26 00:00:00,9985,8635,2,1
492528,2008-09-27 00:00:00,9998,9999,2,0
492529,2008-09-27 00:00:00,10000,4049,1,0
492530,2008-09-27 00:00:00,9986,8571,1,2
492531,2008-09-27 00:00:00,9994,9984,1,1
492532,2008-09-29 00:00:00,8203,7947,4,1
492534,2008-09-28 00:00:00,9996,9987,1,2
492535,2008-09-28 00:00:00,9993,9991,2,2
492536,2008-10-03 00:00:00,8635,9996,2,1
492537,2008-10-04 00:00:00,9987,8203,2,1
492538,2008-10-04 00:00:00,9998,9986,1,1
492539,2008-10-05 00:00:00,9984,9985,4,1
492540,2008-10-04 00:00:00,9991,9994,1,1
492541,2008-10-05 00:00:00,9999,8342,0,1
492542,2008-10-04 00:00:00,8571,9993,0,0
492543,2008-10-04 00:00:00,4049,7947,2,1
492544,2008-10-04 00:00:00,10001,10000,3,2
492545,2008-10-19 00:00:00,8342,9984,3,1
492546,2008-10-18 00:00:00,9985,9998,2,1
492547,2008-10-19 00:00:00,10000,8635,4,0
492548,2008-10-18 00:00:00,9994,8571,2,0
492549,2008-10-18 00:00:00,7947,9987,2,4
492550,2008-10-18 00:00:00,8203,10001,1,3
492551,2008-10-18 00:00:00,9996,9999,2,0
492552,2008-10-18 00:00:00,4049,9991,0,1
492553,2008-10-18 00:00:00,9993,9986,1,2
492554,2008-10-25 00:00:00,8635,8203,7,1
492555,2008-10-26 00:00:00,9987,9985,0,0
492556,2008-10-25 00:00:00,9998,9993,0,0
492557,2008-10-25 00:00:00,9986,9994,1,1
492558,2008-10-25 00:00:00,9984,7947,1,2
492559,2008-10-26 00:00:00,9991,8342,3,0
492561,2008-10-25 00:00:00,9999,10000,0,3
492562,2008-10-24 00:00:00,8571,9996,2,2
492563,2008-10-25 00:00:00,10001,4049,4,1
665318,2009-07-31 00:00:00,9985,9997,2,2
665320,2009-08-02 00:00:00,9986,8342,1,2
665321,2009-08-02 00:00:00,9984,9991,1,3
665322,2009-08-01 00:00:00,9994,10000,1,1
665323,2009-08-01 00:00:00,8571,8635,0,2
665324,2009-08-01 00:00:00,8203,10001,4,1
665325,2009-08-01 00:00:00,9999,9993,1,1
665411,2009-10-04 00:00:00,8342,8635,4,2
665412,2009-10-04 00:00:00,9985,9987,1,0
665413,2009-10-03 00:00:00,9997,10000,1,2
665414,2009-10-03 00:00:00,9986,8571,3,3
665417,2009-10-03 00:00:00,8203,9994,2,0
665420,2009-10-03 00:00:00,9999,9984,3,2
665421,2009-10-03 00:00:00,9993,10001,3,1
665425,2009-10-18 00:00:00,8342,9991,1,0
665426,2009-10-17 00:00:00,8635,9986,2,0
665427,2009-10-18 00:00:00,9987,8203,1,2
665429,2009-10-17 00:00:00,10000,9993,4,0
665430,2009-10-17 00:00:00,9994,9984,1,1
665432,2009-10-17 00:00:00,8571,9999,2,0
665435,2009-10-17 00:00:00,10001,9985,2,0
665438,2009-10-24 00:00:00,9985,10000,1,1
665440,2009-10-24 00:00:00,9997,9991,1,2
665442,2009-10-24 00:00:00,9986,10001,1,1
665443,2009-10-24 00:00:00,9984,8571,1,1
665444,2009-10-23 00:00:00,9994,9987,0,2
665445,2009-10-25 00:00:00,8203,8635,0,2
665446,2009-10-25 00:00:00,9999,8342,2,3
665535,2009-10-31 00:00:00,8342,9997,1,0
665536,2009-10-31 00:00:00,8635,9994,2,0
665537,2009-11-02 00:00:00,9987,9984,2,0
665539,2009-10-31 00:00:00,10000,9986,2,2
665541,2009-11-01 00:00:00,9991,9993,0,1
665543,2009-10-31 00:00:00,8571,8203,2,0
665545,2009-10-31 00:00:00,10001,9999,2,2
665548,2009-11-08 00:00:00,9985,8342,3,1
665551,2009-11-08 00:00:00,9987,8635,0,2
665553,2009-11-06 00:00:00,9986,9991,0,2
665554,2009-11-07 00:00:00,9984,10001,2,1
665556,2009-11-07 00:00:00,9994,8571,0,0
665559,2009-11-07 00:00:00,9999,10000,2,0
665561,2009-11-07 00:00:00,9993,9997,4,1
665568,2009-11-21 00:00:00,8342,9993,1,2
665570,2009-11-21 00:00:00,8635,9999,3,1
665571,2009-11-21 00:00:00,9997,9984,1,1
665574,2009-11-22 00:00:00,10000,8203,4,1
665575,2009-11-21 00:00:00,9991,9985,2,1
665577,2009-11-22 00:00:00,8571,9987,2,1
665581,2009-11-21 00:00:00,10001,9994,1,0
665585,2009-11-28 00:00:00,8342,9986,1,0
665586,2009-11-27 00:00:00,8635,8571,1,0
665588,2009-11-29 00:00:00,9997,9985,2,0
665590,2009-11-29 00:00:00,10000,9994,1,0
665591,2009-11-28 00:00:00,9991,9984,3,1
665595,2009-11-28 00:00:00,10001,8203,2,0
665596,2009-11-28 00:00:00,9993,9999,3,0
665598,2009-12-05 00:00:00,9985,9993,2,2
665599,2009-12-05 00:00:00,9987,10001,0,0
665601,2009-12-05 00:00:00,9986,9997,0,0
665603,2009-12-06 00:00:00,9984,8635,1,3
665604,2009-12-06 00:00:00,9994,8342,0,1
665606,2009-12-05 00:00:00,8571,10000,1,0
665607,2009-12-04 00:00:00,8203,9991,2,5
665614,2009-12-12 00:00:00,8342,8203,1,1
665616,2009-12-12 00:00:00,9985,9999,0,1
665617,2009-12-12 00:00:00,9997,8571,0,2
665619,2009-12-13 00:00:00,10000,9984,1,0
665620,2009-12-13 00:00:00,9991,9987,2,1
665622,2009-12-11 00:00:00,10001,8635,0,2
665623,2009-12-12 00:00:00,9993,9986,0,0
665626,2010-02-03 00:00:00,8635,8342,3,2
665628,2009-12-19 00:00:00,9987,10000,2,2
665630,2010-02-04 00:00:00,9986,9985,2,3
665632,2009-12-19 00:00:00,9994,9991,0,1
665633,2009-12-19 00:00:00,8571,10001,1,1
665634,2010-02-02 00:00:00,8203,9993,1,0
665635,2009-12-19 00:00:00,9999,9997,1,2
665326,2009-08-09 00:00:00,8342,9994,2,0
665327,2009-08-08 00:00:00,8635,9984,3,2
665328,2009-08-08 00:00:00,9997,9986,0,0
665329,2009-08-08 00:00:00,10000,9987,2,2
665330,2009-08-09 00:00:00,9991,8203,2,1
665332,2009-08-08 00:00:00,10001,8571,1,1
665333,2009-08-07 00:00:00,9993,9985,1,1
665639,2009-12-26 00:00:00,8342,9984,2,1
665641,2009-12-26 00:00:00,9985,9994,2,0
665642,2009-12-26 00:00:00,9997,8203,5,2
665643,2009-12-27 00:00:00,10000,10001,1,0
665645,2009-12-26 00:00:00,9986,9999,3,0
665647,2009-12-27 00:00:00,9991,8635,2,2
665651,2009-12-26 00:00:00,9993,9987,1,0
665653,2009-12-30 00:00:00,8635,10000,2,1
665654,2009-12-29 00:00:00,9987,9997,0,0
665655,2009-12-29 00:00:00,9984,9985,2,0
665657,2009-12-30 00:00:00,9994,9993,2,0
665659,2009-12-30 00:00:00,8571,8342,1,4
665661,2009-12-30 00:00:00,8203,9986,1,0
665662,2009-12-30 00:00:00,9999,9991,0,4
665665,2010-01-30 00:00:00,8342,10001,2,1
665666,2010-01-17 00:00:00,9985,8635,0,4
665667,2010-01-16 00:00:00,9997,9994,2,1
665668,2010-01-16 00:00:00,9986,9987,1,3
665669,2010-01-15 00:00:00,9991,8571,2,2
665671,2010-01-16 00:00:00,9999,8203,1,2
665672,2010-01-17 00:00:00,9993,9984,1,4
665674,2010-01-24 00:00:00,9987,8342,2,0
665675,2010-01-23 00:00:00,10000,9997,2,0
665677,2010-02-24 00:00:00,9984,9986,1,0
665679,2010-01-23 00:00:00,9994,9999,1,4
665680,2010-01-23 00:00:00,8571,9993,3,0
665681,2010-01-24 00:00:00,8203,9985,0,0
665682,2010-01-23 00:00:00,10001,9991,0,0
665686,2010-01-31 00:00:00,9985,8571,3,1
665687,2010-02-03 00:00:00,9997,10001,0,1
665688,2010-03-10 00:00:00,9986,9994,4,1
665689,2010-01-31 00:00:00,9991,10000,0,2
665692,2010-01-30 00:00:00,8203,9984,1,2
665694,2010-02-24 00:00:00,9999,9987,1,1
665695,2010-01-29 00:00:00,9993,8635,0,5
665698,2010-02-06 00:00:00,8635,9997,1,2
665699,2010-02-07 00:00:00,9987,9985,1,0
665700,2010-02-07 00:00:00,10000,8342,1,1
665702,2010-02-06 00:00:00,9984,9999,2,0
665704,2010-02-06 00:00:00,9994,8203,2,1
665706,2010-02-07 00:00:00,8571,9986,2,1
665710,2010-02-06 00:00:00,10001,9993,1,1
665712,2010-02-14 00:00:00,9985,10001,1,0
665717,2010-03-06 00:00:00,9986,8635,0,2
665719,2010-03-06 00:00:00,9984,9994,4,0
665721,2010-02-14 00:00:00,9991,8342,1,1
665723,2010-03-07 00:00:00,8203,9987,2,1
665725,2010-02-13 00:00:00,9999,8571,0,2
665727,2010-03-07 00:00:00,9993,10000,1,1
665728,2010-02-21 00:00:00,8342,9985,2,1
665729,2010-02-21 00:00:00,8635,8203,2,0
665730,2010-02-19 00:00:00,9987,9994,3,1
665731,2010-02-20 00:00:00,10000,9999,1,1
665732,2010-02-20 00:00:00,9991,9997,0,1
665733,2010-02-20 00:00:00,8571,9984,3,1
665735,2010-02-20 00:00:00,10001,9986,4,0
665737,2010-02-28 00:00:00,9997,8342,1,1
665738,2010-02-28 00:00:00,9986,10000,0,0
665739,2010-02-27 00:00:00,9984,9987,1,0
665740,2010-02-27 00:00:00,9994,10001,1,0
665741,2010-02-27 00:00:00,8203,8571,1,1
665742,2010-02-28 00:00:00,9999,8635,1,2
665743,2010-02-26 00:00:00,9993,9991,1,1
665744,2010-03-14 00:00:00,8342,9999,1,0
665745,2010-03-14 00:00:00,8635,9987,2,0
665746,2010-03-14 00:00:00,9997,9993,2,0
665749,2010-03-14 00:00:00,10000,9985,1,1
665751,2010-03-14 00:00:00,9991,9986,2,1
665753,2010-03-14 00:00:00,8571,9994,3,1
665757,2010-03-14 00:00:00,10001,9984,2,1
665334,2009-08-15 00:00:00,8635,10001,3,0
665335,2009-08-15 00:00:00,9987,9991,1,1
665336,2009-08-16 00:00:00,9986,9993,1,0
665337,2009-08-15 00:00:00,9984,10000,2,2
665338,2009-08-15 00:00:00,9994,9997,1,2
665340,2009-08-15 00:00:00,8203,8342,2,1
665341,2009-08-15 00:00:00,9999,9985,1,5
665761,2010-03-21 00:00:00,9985,9991,0,2
665763,2010-03-21 00:00:00,9987,8571,1,1
665767,2010-03-21 00:00:00,9984,9997,3,1
665769,2010-03-21 00:00:00,9994,8635,0,4
665771,2010-03-21 00:00:00,8203,10000,2,1
665774,2010-03-21 00:00:00,9999,10001,0,0
665775,2010-03-21 00:00:00,9993,8342,1,4
665342,2009-08-23 00:00:00,8342,8571,2,2
665343,2009-08-21 00:00:00,9985,9986,1,1
665344,2009-08-22 00:00:00,9997,9999,2,1
665345,2009-08-22 00:00:00,10000,8635,0,2
665346,2009-08-22 00:00:00,9991,9994,4,1
665348,2009-08-23 00:00:00,10001,9987,0,1
665349,2009-08-22 00:00:00,9993,8203,1,3
665352,2009-08-30 00:00:00,8635,9985,1,1
665353,2009-08-30 00:00:00,9987,9993,1,1
665354,2009-08-30 00:00:00,9984,8342,2,3
665357,2009-08-29 00:00:00,8571,9991,1,0
665358,2009-08-29 00:00:00,8203,9997,0,2
665359,2009-08-29 00:00:00,9999,9986,1,3
665360,2009-08-28 00:00:00,10001,10000,1,2
665361,2009-09-13 00:00:00,8342,9987,1,1
665362,2009-09-12 00:00:00,9985,8203,3,0
665363,2009-09-12 00:00:00,9997,8635,2,1
665364,2009-09-12 00:00:00,10000,8571,0,2
665365,2009-09-12 00:00:00,9986,9984,0,4
665366,2009-09-12 00:00:00,9991,9999,5,1
665368,2009-09-13 00:00:00,9993,9994,2,1
665370,2009-09-20 00:00:00,8635,9991,1,1
665371,2009-09-18 00:00:00,9987,9986,1,2
665374,2009-09-19 00:00:00,9984,9993,1,2
665376,2009-09-19 00:00:00,9994,9985,1,3
665378,2009-09-19 00:00:00,8571,9997,0,1
665379,2009-09-19 00:00:00,8203,9999,3,2
665380,2009-09-20 00:00:00,10001,8342,1,4
665384,2009-09-23 00:00:00,8342,10000,3,1
665385,2009-09-23 00:00:00,9985,9984,1,1
665386,2009-09-22 00:00:00,9997,9987,2,4
665387,2009-09-23 00:00:00,9986,8203,1,2
665389,2009-09-23 00:00:00,9991,10001,1,2
665392,2009-09-23 00:00:00,9999,9994,1,2
665393,2009-09-23 00:00:00,9993,8571,1,0
665396,2009-09-27 00:00:00,8635,9993,1,0
665397,2009-09-26 00:00:00,9987,9999,1,1
665399,2009-09-26 00:00:00,10000,9991,3,1
665402,2009-09-28 00:00:00,9984,8203,1,0
665403,2009-09-26 00:00:00,9994,9986,4,1
665405,2009-09-26 00:00:00,8571,9985,0,2
665409,2009-09-26 00:00:00,10001,9997,2,0
838467,2010-07-31 00:00:00,9997,9989,1,0
838468,2010-07-31 00:00:00,8571,8342,1,0
838469,2010-07-31 00:00:00,8203,9994,2,0
838472,2010-07-31 00:00:00,10001,9991,0,1
838473,2010-07-31 00:00:00,8635,6351,4,1
838474,2010-07-30 00:00:00,9985,10000,1,1
838475,2010-08-01 00:00:00,9984,9986,1,1
838476,2010-08-01 00:00:00,9987,9993,2,1
838581,2010-10-03 00:00:00,8342,9991,3,2
838582,2010-10-03 00:00:00,9985,8635,5,1
838583,2010-10-02 00:00:00,9997,10001,1,2
838584,2010-10-02 00:00:00,10000,9986,1,1
838585,2010-10-02 00:00:00,9994,9993,1,0
838586,2010-10-02 00:00:00,8571,6351,3,1
838587,2010-10-01 00:00:00,8203,9987,2,2
838588,2010-10-02 00:00:00,9989,9984,0,1
838590,2010-10-16 00:00:00,9991,8571,2,0
838591,2010-10-17 00:00:00,9987,9985,4,2
838593,2010-10-16 00:00:00,9993,9989,1,1
